LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
15m         Normal    Pulled              pod/fortio-a5c19de2                     Container image "fortio/fortio:1.63.0" already present on machine
15m         Normal    Created             pod/fortio-a5c19de2                     Created container: fortio-a5c19de2
15m         Normal    Started             pod/fortio-a5c19de2                     Started container fortio-a5c19de2
14m         Normal    Scheduled           pod/fortio-835d92f7                     Successfully assigned minishop/fortio-835d92f7 to minikube
14m         Normal    Pulled              pod/fortio-835d92f7                     Container image "fortio/fortio:1.63.0" already present on machine
14m         Normal    Created             pod/fortio-835d92f7                     Created container: fortio-835d92f7
14m         Normal    Started             pod/fortio-835d92f7                     Started container fortio-835d92f7
14m         Normal    Scheduled           pod/fortio-1f789c2e                     Successfully assigned minishop/fortio-1f789c2e to minikube
14m         Normal    Started             pod/fortio-1f789c2e                     Started container fortio-1f789c2e
14m         Normal    Pulled              pod/fortio-1f789c2e                     Container image "fortio/fortio:1.63.0" already present on machine
14m         Normal    Created             pod/fortio-1f789c2e                     Created container: fortio-1f789c2e
13m         Normal    Scheduled           pod/fortio-f61c27d5                     Successfully assigned minishop/fortio-f61c27d5 to minikube
13m         Normal    Started             pod/fortio-f61c27d5                     Started container fortio-f61c27d5
13m         Normal    Created             pod/fortio-f61c27d5                     Created container: fortio-f61c27d5
13m         Normal    Pulled              pod/fortio-f61c27d5                     Container image "fortio/fortio:1.63.0" already present on machine
13m         Normal    Scheduled           pod/fortio-19d4f6ac                     Successfully assigned minishop/fortio-19d4f6ac to minikube
13m         Normal    Created             pod/fortio-19d4f6ac                     Created container: fortio-19d4f6ac
13m         Normal    Pulled              pod/fortio-19d4f6ac                     Container image "fortio/fortio:1.63.0" already present on machine
13m         Normal    Started             pod/fortio-19d4f6ac                     Started container fortio-19d4f6ac
12m         Normal    Scheduled           pod/fortio-204e6a81                     Successfully assigned minishop/fortio-204e6a81 to minikube
12m         Normal    Pulled              pod/fortio-204e6a81                     Container image "fortio/fortio:1.63.0" already present on machine
12m         Normal    Created             pod/fortio-204e6a81                     Created container: fortio-204e6a81
12m         Normal    Started             pod/fortio-204e6a81                     Started container fortio-204e6a81
12m         Normal    Scheduled           pod/fortio-380adeb6                     Successfully assigned minishop/fortio-380adeb6 to minikube
12m         Normal    Created             pod/fortio-380adeb6                     Created container: fortio-380adeb6
12m         Normal    Started             pod/fortio-380adeb6                     Started container fortio-380adeb6
12m         Normal    Pulled              pod/fortio-380adeb6                     Container image "fortio/fortio:1.63.0" already present on machine
12m         Normal    Scheduled           pod/fortio-bde1a407                     Successfully assigned minishop/fortio-bde1a407 to minikube
12m         Normal    Pulled              pod/fortio-bde1a407                     Container image "fortio/fortio:1.63.0" already present on machine
12m         Normal    Created             pod/fortio-bde1a407                     Created container: fortio-bde1a407
12m         Normal    Started             pod/fortio-bde1a407                     Started container fortio-bde1a407
11m         Normal    Scheduled           pod/fortio-1f73584a                     Successfully assigned minishop/fortio-1f73584a to minikube
11m         Normal    Created             pod/fortio-1f73584a                     Created container: fortio-1f73584a
11m         Normal    Pulled              pod/fortio-1f73584a                     Container image "fortio/fortio:1.63.0" already present on machine
11m         Normal    Started             pod/fortio-1f73584a                     Started container fortio-1f73584a
11m         Normal    Scheduled           pod/fortio-c89341e0                     Successfully assigned minishop/fortio-c89341e0 to minikube
11m         Normal    Pulled              pod/fortio-c89341e0                     Container image "fortio/fortio:1.63.0" already present on machine
11m         Normal    Created             pod/fortio-c89341e0                     Created container: fortio-c89341e0
11m         Normal    Started             pod/fortio-c89341e0                     Started container fortio-c89341e0
11m         Normal    Scheduled           pod/fortio-fd48ae72                     Successfully assigned minishop/fortio-fd48ae72 to minikube
10m         Normal    Pulled              pod/fortio-fd48ae72                     Container image "fortio/fortio:1.63.0" already present on machine
10m         Normal    Created             pod/fortio-fd48ae72                     Created container: fortio-fd48ae72
10m         Normal    Started             pod/fortio-fd48ae72                     Started container fortio-fd48ae72
10m         Normal    Scheduled           pod/fortio-b9578a13                     Successfully assigned minishop/fortio-b9578a13 to minikube
10m         Normal    Started             pod/fortio-b9578a13                     Started container fortio-b9578a13
10m         Normal    Created             pod/fortio-b9578a13                     Created container: fortio-b9578a13
10m         Normal    Pulled              pod/fortio-b9578a13                     Container image "fortio/fortio:1.63.0" already present on machine
10m         Normal    Scheduled           pod/fortio-f37a4689                     Successfully assigned minishop/fortio-f37a4689 to minikube
10m         Normal    Pulled              pod/fortio-f37a4689                     Container image "fortio/fortio:1.63.0" already present on machine
10m         Normal    Created             pod/fortio-f37a4689                     Created container: fortio-f37a4689
10m         Normal    Started             pod/fortio-f37a4689                     Started container fortio-f37a4689
9m27s       Normal    Scheduled           pod/fortio-d6e4a5b1                     Successfully assigned minishop/fortio-d6e4a5b1 to minikube
9m26s       Normal    Pulled              pod/fortio-d6e4a5b1                     Container image "fortio/fortio:1.63.0" already present on machine
9m26s       Normal    Created             pod/fortio-d6e4a5b1                     Created container: fortio-d6e4a5b1
9m25s       Normal    Started             pod/fortio-d6e4a5b1                     Started container fortio-d6e4a5b1
9m17s       Normal    Scheduled           pod/fortio-6d3f247e                     Successfully assigned minishop/fortio-6d3f247e to minikube
9m16s       Normal    Started             pod/fortio-6d3f247e                     Started container fortio-6d3f247e
9m16s       Normal    Pulled              pod/fortio-6d3f247e                     Container image "fortio/fortio:1.63.0" already present on machine
9m16s       Normal    Created             pod/fortio-6d3f247e                     Created container: fortio-6d3f247e
8m36s       Normal    Scheduled           pod/fortio-8412b3dc                     Successfully assigned minishop/fortio-8412b3dc to minikube
8m36s       Normal    Pulled              pod/fortio-8412b3dc                     Container image "fortio/fortio:1.63.0" already present on machine
8m35s       Normal    Started             pod/fortio-8412b3dc                     Started container fortio-8412b3dc
8m35s       Normal    Created             pod/fortio-8412b3dc                     Created container: fortio-8412b3dc
8m27s       Normal    Scheduled           pod/fortio-f86d19b7                     Successfully assigned minishop/fortio-f86d19b7 to minikube
8m26s       Normal    Created             pod/fortio-f86d19b7                     Created container: fortio-f86d19b7
8m26s       Normal    Started             pod/fortio-f86d19b7                     Started container fortio-f86d19b7
8m26s       Normal    Pulled              pod/fortio-f86d19b7                     Container image "fortio/fortio:1.63.0" already present on machine
7m42s       Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
7m41s       Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
7m41s       Normal    Created             pod/nettest                             Created container: nettest
7m41s       Normal    Started             pod/nettest                             Started container nettest
7m37s       Normal    Scheduled           pod/fortio-e965a4df                     Successfully assigned minishop/fortio-e965a4df to minikube
7m36s       Normal    Created             pod/fortio-e965a4df                     Created container: fortio-e965a4df
7m36s       Normal    Pulled              pod/fortio-e965a4df                     Container image "fortio/fortio:1.63.0" already present on machine
7m35s       Normal    Started             pod/fortio-e965a4df                     Started container fortio-e965a4df
7m27s       Normal    Scheduled           pod/fortio-ed25183b                     Successfully assigned minishop/fortio-ed25183b to minikube
7m26s       Normal    Pulled              pod/fortio-ed25183b                     Container image "fortio/fortio:1.63.0" already present on machine
7m26s       Normal    Started             pod/fortio-ed25183b                     Started container fortio-ed25183b
7m26s       Normal    Created             pod/fortio-ed25183b                     Created container: fortio-ed25183b
6m47s       Normal    Scheduled           pod/fortio-4b50fe29                     Successfully assigned minishop/fortio-4b50fe29 to minikube
6m46s       Normal    Created             pod/fortio-4b50fe29                     Created container: fortio-4b50fe29
6m46s       Normal    Pulled              pod/fortio-4b50fe29                     Container image "fortio/fortio:1.63.0" already present on machine
6m45s       Normal    Started             pod/fortio-4b50fe29                     Started container fortio-4b50fe29
